Time	Water column behaviour	Prey present	Prey abundance	Foraging behavior	Cons/Hetero	Cons/Hetero abundance	Direction	Comments
27.97	Flapping (F)							
28.00	Flapping (F)							
28.03	Flapping (F)							
28.07	Flapping (F)							
28.10	Flapping (F)							
28.13	Flapping (F)							
28.17	Flapping (F)							
28.20	Flapping (F)							
28.23	Flapping (F)							
28.27	Flapping (F)							
28.30	Flapping (F)							
28.33	Flapping (F)							
28.37	Flapping (F)							
28.40	Flapping (F)							
28.43	Flapping (F)							
28.47	Flapping (F)							
28.50	Flapping (F)							
28.53	Flapping (F)							
28.57	Flapping (F)							
28.60	Flapping (F)							
28.63	Flapping (F)							
28.67	Flapping (F)							
28.70	Flapping (F)							
28.73	Flapping (F)							
28.77	Flapping (F)							
28.80	Flapping (F)							
28.83	Flapping (F)							
28.87	Flapping (F)							
28.90	Flapping (F)							
28.93	Flapping (F)							
28.97	Flapping (F)							
29.00	Flapping (F)							
29.03	Flapping (F)							
29.07	Flapping (F)							
29.10	Flapping (F)							
29.13	Flapping (F)							
29.17	Flapping (F)							
29.20	Flapping (F)							
29.23	Flapping (F)							
29.27	Flapping (F)							
29.30	Flapping (F)							
29.33	Flapping (F)							
29.37	Flapping (F)							
29.40	Flapping (F)							
29.43	Flapping (F)							
29.47	Flapping (F)							
29.50	Flapping (F)							
29.53	Flapping (F)							
29.57	Flapping (F)							
29.60	Flapping (F)							
29.63	Flapping (F)							
29.67	Flapping (F)							
29.70	Flapping (F)							
29.73	Flapping (F)							
29.77	Flapping (F)							
29.80	Flapping (F)							
29.83	Flapping (F)							
29.87	Flapping (F)							
29.90	Flapping (F)							
29.93	Flapping (F)							
29.97	Flapping (F)							
30.00	Flapping (F)							
30.03	Flapping (F)							
30.07	Flapping (F)							
30.10	Flapping (F)							
30.13	Flapping (F)							
30.17	Flapping (F)							
30.20	Flapping (F)							
30.23	Flapping (F)							
30.27	Flapping (F)							
30.30	Flapping (F)							
30.33	Flapping (F)							
30.37	Flapping (F)							
30.40	Flapping (F)							
30.43	Flapping (F)							
30.47	Flapping (F)							
30.50	Flapping (F)							
30.53	Flapping (F)							
30.57	Flapping (F)							
30.60	Flapping (F)							
30.63	Flapping (F)							
30.67	Flapping (F)							
30.70	Flapping (F)							
30.73	Flapping (F)							
30.77	Flapping (F)							
30.80	Flapping (F)							
30.83	Flapping (F)							
30.87	Flapping (F)							
30.90	Flapping (F)							
30.93	Flapping (F)							
30.97	Flapping (F)							
31.00	Flapping (F)							
31.03	Flapping (F)							
31.07	Flapping (F)							
31.10	Flapping (F)							
31.13	Flapping (F)							
31.17	Flapping (F)							
31.20	Flapping (F)							
31.23	Flapping (F)							
31.27	Flapping (F)							
31.30	Flapping (F)							
31.33	Flapping (F)							
31.37	Flapping (F)							
31.40	Flapping (F)							
31.43	Flapping (F)							
31.47	Flapping (F)							
31.50	Flapping (F)							
31.53	Flapping (F)							
31.57	Flapping (F)							
31.60	Flapping (F)							
31.63	Flapping (F)							
31.67	Flapping (F)							
31.70	Flapping (F)							
31.73	Flapping (F)							
31.77	Flapping (F)							
31.80	Flapping (F)							
31.83	Flapping (F)							
31.87	Flapping (F)							
31.90	Flapping (F)							
31.93	Flapping (F)							
31.97	Flapping (F)							
32.00	Flapping (F)							
32.03	Flapping (F)							
32.07	Flapping (F)							
32.10	Flapping (F)							
32.13	Flapping (F)							
32.17	Flapping (F)							
32.20	Flapping (F)							
32.23	Flapping (F)							
32.27	Flapping (F)							
32.30	Flapping (F)							
32.33	Flapping (F)							
32.37	Flapping (F)							
32.40	Flapping (F)							
32.43	Flapping (F)							
32.47	Flapping (F)							
32.50	Flapping (F)							
32.53	Flapping (F)							
32.57	Flapping (F)							
32.60	Flapping (F)							
32.63	Flapping (F)							
32.67	Flapping (F)							
32.70	Flapping (F)							
32.73	Flapping (F)							
32.77	Flapping (F)							
32.80	Flapping (F)							
32.83	Flapping (F)							
32.87	Flapping (F)							
32.90	Flapping (F)							
32.93	Flapping (F)							
32.97	Flapping (F)							
33.00	Flapping (F)							
33.03	Flapping (F)							
33.07	Flapping (F)							
33.10	Flapping (F)							
33.13	Flapping (F)							
33.17	Flapping (F)							
33.20	Flapping (F)							
33.23	Flapping (F)							
33.27	Flapping (F)							
33.30	Flapping (F)							
33.33	Flapping (F)							
33.37	Flapping (F)							
33.40	Flapping (F)							
33.43	Flapping (F)							
33.47	Flapping (F)							
33.50	Flapping (F)							
33.53	Flapping (F)							
33.57	Flapping (F)							
33.60	Flapping (F)							
33.63	Flapping (F)							
33.67	Flapping (F)							
33.70	Flapping (F)							
33.73	Flapping (F)							
33.77	Flapping (F)							
33.80	Flapping (F)							
33.83	Flapping (F)							
33.87	Flapping (F)							
33.90	Flapping (F)							
33.93	Flapping (F)							
33.97	Flapping (F)							
34.00	Flapping (F)							
34.03	Flapping (F)							
34.07	Flapping (F)							
34.10	Flapping (F)							
34.13	Flapping (F)							
34.17	Flapping (F)							
34.20	Flapping (F)							
34.23	Flapping (F)							
34.27	Flapping (F)							
34.30	Flapping (F)							
34.33	Flapping (F)							
34.37	Flapping (F)							
34.40	Flapping (F)							
34.43	Flapping (F)							
34.47	Flapping (F)							
34.50	Flapping (F)							
34.53	Flapping (F)							
34.57	Flapping (F)							
34.60	Flapping (F)							
34.63	Flapping (F)							
34.67	Flapping (F)							
34.70	Flapping (F)							
34.73	Flapping (F)							
34.77	Flapping (F)							
34.80	Flapping (F)							
34.83	Flapping (F)							
